# TinZr Multi Recording
# DateTime: 2025-12-18T22:03:37.807495
# Device: TinZrBlack
# Address: D8:85:AC:4E:38:6E
time_s,ax,ay,az,gx,gy,gz,red,ir,hr_bpm,spo2_pct,batt_pct
9.157028,-0.006000,-0.925000,0.412000,1.960000,-5.000000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.158121,-0.008000,-0.926000,0.415000,1.820000,-4.930000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.158121,-0.010000,-0.926000,0.415000,1.820000,-4.760000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.158121,-0.007000,-0.925000,0.412000,1.850000,-4.930000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.158121,-0.007000,-0.925000,0.414000,1.780000,-4.830000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.158121,-0.009000,-0.925000,0.414000,1.960000,-4.760000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.158121,-0.006000,-0.926000,0.412000,1.890000,-4.760000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.158121,-0.009000,-0.925000,0.415000,1.820000,-4.900000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.158121,-0.011000,-0.925000,0.413000,1.710000,-4.900000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.158121,-0.009000,-0.927000,0.412000,1.820000,-4.760000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.276595,-0.006000,-0.926000,0.414000,1.920000,-5.070000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.276595,-0.007000,-0.923000,0.412000,1.820000,-4.970000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.276595,-0.008000,-0.927000,0.412000,1.890000,-4.860000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.276595,-0.008000,-0.923000,0.411000,1.850000,-5.180000,-0.770000,0.000000,0.000000,0.00,0.00,83.00
9.276595,-0.008000,-0.925000,0.412000,1.850000,-4.970000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.276595,-0.008000,-0.925000,0.413000,1.780000,-4.970000,-0.730000,0.000000,0.000000,0.00,0.00,83.00
9.276595,-0.005000,-0.926000,0.411000,1.820000,-4.790000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
9.276595,-0.008000,-0.924000,0.411000,1.750000,-4.760000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
9.276595,-0.007000,-0.922000,0.410000,1.890000,-4.900000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.336645,-0.007000,-0.924000,0.413000,1.850000,-4.830000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
9.336645,-0.009000,-0.925000,0.412000,1.850000,-4.690000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
9.336645,-0.009000,-0.925000,0.414000,1.990000,-5.000000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.336645,-0.011000,-0.925000,0.411000,1.920000,-4.930000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.336645,-0.008000,-0.926000,0.412000,1.920000,-4.830000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.336645,-0.007000,-0.925000,0.414000,2.030000,-4.930000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.336645,-0.010000,-0.925000,0.415000,2.030000,-4.900000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.336645,-0.008000,-0.925000,0.412000,1.990000,-4.900000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.336645,-0.008000,-0.925000,0.414000,1.960000,-4.970000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.338660,-0.010000,-0.925000,0.416000,1.890000,-5.040000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.338660,-0.008000,-0.925000,0.414000,1.820000,-5.040000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.338660,-0.008000,-0.924000,0.414000,1.680000,-4.760000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.338660,-0.010000,-0.928000,0.415000,1.750000,-4.930000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.338660,-0.007000,-0.924000,0.411000,1.750000,-5.110000,-0.770000,0.000000,0.000000,0.00,0.00,83.00
9.338660,-0.007000,-0.927000,0.410000,1.540000,-4.790000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
9.338660,-0.009000,-0.926000,0.414000,1.710000,-4.760000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.338660,-0.008000,-0.926000,0.409000,1.680000,-4.860000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.338660,-0.007000,-0.925000,0.414000,1.640000,-4.930000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.339476,-0.006000,-0.925000,0.409000,1.750000,-4.720000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.339476,-0.007000,-0.926000,0.412000,1.890000,-4.760000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.339476,-0.006000,-0.926000,0.410000,2.030000,-4.970000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.339476,-0.008000,-0.926000,0.410000,1.960000,-4.760000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.339476,-0.007000,-0.927000,0.415000,1.960000,-4.720000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.339476,-0.009000,-0.926000,0.411000,2.100000,-4.860000,-0.490000,0.000000,0.000000,0.00,0.00,83.00
9.339476,-0.007000,-0.926000,0.411000,2.030000,-4.830000,-0.590000,0.000000,0.000000,0.00,0.00,83.00
9.339476,-0.009000,-0.922000,0.412000,1.990000,-4.830000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.339476,-0.010000,-0.924000,0.411000,2.030000,-4.830000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.340675,-0.009000,-0.923000,0.410000,2.100000,-4.970000,-0.730000,0.000000,0.000000,0.00,0.00,83.00
9.340675,-0.008000,-0.926000,0.413000,1.890000,-4.830000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.340675,-0.009000,-0.926000,0.413000,1.710000,-4.760000,-0.730000,0.000000,0.000000,0.00,0.00,83.00
9.340675,-0.009000,-0.927000,0.414000,1.850000,-4.970000,-0.800000,0.000000,0.000000,0.00,0.00,83.00
9.340675,-0.005000,-0.925000,0.412000,1.640000,-5.000000,-0.730000,0.000000,0.000000,0.00,0.00,83.00
9.340675,-0.007000,-0.924000,0.414000,1.470000,-4.900000,-0.660000,0.000000,0.000000,0.00,0.00,83.00
9.340675,-0.009000,-0.925000,0.410000,1.610000,-4.970000,-0.700000,0.000000,0.000000,0.00,0.00,83.00
9.340675,-0.010000,-0.923000,0.413000,1.610000,-5.070000,-0.630000,0.000000,0.000000,0.00,0.00,83.00
9.340675,-0.008000,-0.924000,0.412000,1.570000,-4.970000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.396300,-0.007000,-0.924000,0.410000,1.470000,-4.830000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.396300,-0.006000,-0.922000,0.413000,1.500000,-5.040000,-0.560000,0.000000,0.000000,0.00,0.00,83.00
9.396300,-0.007000,-0.923000,0.412000,1.470000,-5.040000,-0.520000,0.000000,0.000000,0.00,0.00,83.00
9.396300,-0.011000,-0.924000,0.412000,1.360000,-4.860000,-0.490000,0.000000,0.000000,0.00,0.00,83.00
9.396300,-0.009000,-0.923000,0.413000,1.470000,-4.860000,-0.380000,0.000000,0.000000,0.00,0.00,83.00
9.396300,-0.008000,-0.924000,0.411000,1.330000,-4.930000,-0.350000,0.000000,0.000000,0.00,0.00,83.00
9.396300,-0.010000,-0.921000,0.411000,1.360000,-5.040000,-0.350000,0.000000,0.000000,0.00,0.00,83.00
9.396300,-0.009000,-0.921000,0.411000,1.260000,-4.760000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
9.396300,-0.008000,-0.922000,0.409000,1.290000,-4.900000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
9.456319,-0.007000,-0.922000,0.411000,1.220000,-5.040000,-0.280000,0.000000,0.000000,0.00,0.00,83.00
9.456319,-0.008000,-0.922000,0.409000,1.120000,-4.720000,-0.210000,0.000000,0.000000,0.00,0.00,83.00
9.456319,-0.009000,-0.924000,0.411000,1.010000,-4.690000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
9.456319,-0.008000,-0.926000,0.413000,0.940000,-4.760000,-0.280000,0.000000,0.000000,0.00,0.00,83.00
9.456319,-0.006000,-0.927000,0.413000,0.730000,-4.510000,-0.210000,0.000000,0.000000,0.00,0.00,83.00
9.456319,-0.009000,-0.924000,0.411000,0.520000,-4.620000,-0.140000,0.000000,0.000000,0.00,0.00,83.00
9.456319,-0.007000,-0.926000,0.411000,0.490000,-4.720000,-0.170000,0.000000,0.000000,0.00,0.00,83.00
9.456319,-0.008000,-0.926000,0.412000,0.380000,-4.650000,-0.310000,0.000000,0.000000,0.00,0.00,83.00
9.456319,-0.008000,-0.926000,0.410000,0.310000,-4.550000,-0.280000,0.000000,0.000000,0.00,0.00,83.00
9.457588,-0.007000,-0.924000,0.408000,0.310000,-4.580000,-0.240000,0.000000,0.000000,0.00,0.00,83.00
9.457588,-0.009000,-0.927000,0.409000,0.450000,-4.760000,-0.380000,0.000000,0.000000,0.00,0.00,83.00
9.457588,-0.008000,-0.927000,0.409000,0.280000,-4.580000,-0.280000,0.000000,0.000000,0.00,0.00,83.00
9.457588,-0.007000,-0.928000,0.407000,0.420000,-4.440000,-0.170000,0.000000,0.000000,0.00,0.00,83.00
9.457588,-0.009000,-0.929000,0.408000,0.630000,-4.760000,-0.280000,0.000000,0.000000,0.00,0.00,83.00
9.457588,-0.009000,-0.926000,0.406000,0.800000,-4.690000,-0.210000,0.000000,0.000000,0.00,0.00,83.00
